Id,Img,Nome,Nível,Tipo,Ability,Ability 2,HP,Atk,SpAtk,Def,SpDef,Spe,Male/Fem
1,,Hellhound,0-24,Fire,Stoic,,175,8,8,16,16,5,50/50
2,,Twinflame,25-49,Fire,Stoic,,225,33,33,41,41,30,50/50
3,,Emberus,50-100,Fire,Stoic,,275,58,58,66,66,55,50/50
4,,Heatrun,0-24,Fire,Stubborn,,150,15,7,9,7,15,60/40
5,,Heathorn,25-49,Fire,Stubborn,,200,40,32,34,32,40,60/40
6,,Heatbull,50-100,Fire,Stubborn,,250,65,57,59,57,65,80/20
7,,Jofirey,0-24,Fire,Duelist,,100,17,8,8,6,14,50/50
8,,Kangaflame,25-49,Fire,Duelist,,150,42,33,33,31,39,50/50
9,,Kangatwo,50-100,Fire,Duelist,Second Strike,200,67,58,58,56,64,20/80
10,,Riftcrow,0-24,Air,Blitzkrieg,,100,6,12,6,12,17,50/50
11,,Riftwing,25-49,Air,Blitzkrieg,,150,31,37,31,37,42,50/50
12,,Ravenseer,50-100,Air,Blitzkrieg,Sense Danger,200,56,62,56,62,67,50/50
13,,Nimbus,0-24,Air,Weather Change,,175,10,11,12,13,7,50/50
14,,Stratus,25-49,Air,Weather Change,,225,35,36,37,38,32,50/50
15,,Caelus,50-100,Air,Weather Change,,275,60,61,62,63,57,50/50
16,,Rushbeak,0-24,Air,Marksman,,150,17,6,7,6,17,50/50
17,,Windwing,25-49,Air,Marksman,,200,42,31,32,31,42,50/50
18,,Falconair,50-100,Air,Marksman,,250,67,56,57,56,67,50/50
19,,Sunseed,0-24,Plant,Solar Power,,125,7,16,11,12,7,50/50
20,,Sunborn,25-49,Plant,Solar Power,,175,32,41,36,37,32,50/50
21,,Sunkeeper,50-100,Plant,Solar Power,,225,57,66,61,62,57,50/50
22,,Roseblood,0-24,Plant,Vampirism,,150,12,12,10,10,9,50/50
23,,Vampirose,25-49,Plant,Vampirism,,200,37,37,35,35,34,50/50
24,,Rosecula,50-100,Plant,Vampirism,,250,62,62,60,60,59,50/50
25,,Cactfight,0-24,Plant,Duelist,Thorns,150,17,6,13,7,10,50/50
26,,Spikefist,25-49,Plant,Duelist,Thorns,200,42,31,38,32,35,50/50
27,,Thornpunch,50-100,Plant,Duelist,Thorns,250,67,56,63,57,60,50/50
28,,Lakezard,0-24,Water,Trickster,Intimidation,150,13,13,7,7,13,50/50
29,,Rivermander,25-49,Water,Trickster,Intimidation,200,38,38,32,32,38,50/50
30,,Oceanlotl,50-100,Water,Trickster,Intimidation,250,63,63,57,57,63,50/50
31,,Squidhook,0-24,Water,Duelist,,150,15,10,11,10,7,50/50
32,,Octosword,25-49,Water,Duelist,,200,40,35,36,35,32,50/50
33,,Krakenbeard,50-100,Water,Duelist,,250,65,60,61,60,57,50/50
34,,Alfish,0-24,Water,Duelist,,150,16,8,7,8,15,50/50
35,,Sharkion,25-49,Water,Duelist,Intimidation,200,41,33,32,33,40,50/50
36,,Omegalodon,50-100,Water,Duelist,Intimidation,250,66,58,57,58,60,50/50
37,,Diggespion,0-24,Rock,Stoic,,175,13,5,15,10,10,50/50
38,,Minescorpio,25-49,Rock,Stoic,,225,38,30,40,35,35,50/50
39,,Goldpion,50-100,Rock,Stoic,,275,63,55,65,60,60,50/50
40,,Rockhorn,0-24,Rock,Pacifist,,200,16,3,16,15,3,50/50
41,,Rhinorock,25-49,Rock,Pacifist,,250,41,28,41,40,28,50/50
42,,Stompede,50-100,Rock,Pacifist,,300,66,53,66,65,53,50/50
43,,Molehole,0-24,Rock,Sense Danger,,125,13,7,11,11,11,50/50
44,,Clawlaw,25-49,Rock,Sense Danger,,175,38,32,36,36,36,50/50
45,,Drillhill,50-100,Rock,Sense Danger,,225,63,57,61,61,61,50/50
46,,Monctric,0-24,Eletric,Trickster,,175,12,12,9,9,11,50/50
47,,Thunderzee,25-49,Eletric,Trickster,,225,37,37,34,34,36,50/50
48,,Gorilightning,50-100,Eletric,Trickster,Intimidation,275,62,62,59,59,61,50/50
49,,Bolt,0-24,Eletric,Blitzkrieg,,150,9,9,7,8,20,50/50
50,,Starllion,25-49,Eletric,Blitzkrieg,,200,34,34,32,33,45,50/50
